"ime","plezalisce","ocena","dolzina"
Casalinga,Ehnbachklamm,5b,18 m
No U-Turn,Ewige Jagdgründe,6b+,13 m
Muttertag,Ewige Jagdgründe,7b+/c,8 m
The Meatcheesecrack,Ewige Jagdgründe,7c,14 m
Das letzte Einhorn,Ewige Jagdgründe,6b,10 m
Weg duch das Puff,Ewige Jagdgründe,5b,10 m
Parablue,Ewige Jagdgründe,7b,18 m
Dolphins Cry,Ewige Jagdgründe,7c,18 m
Jumping Jackflash,Ewige Jagdgründe,7c+,20 m
Stone Cold Sober,Ewige Jagdgründe,7a+,15 m
Reise ins Ego,Ewige Jagdgründe,7c,35 m
Ego nein Danke,Ewige Jagdgründe,6c/c+,28 m
Especially for you,Ewige Jagdgründe,7c,18 m
08/15,Ewige Jagdgründe,5b,35 m
Getittach Kraxe,Ewige Jagdgründe,7c+,28 m
Snooker,Ewige Jagdgründe,8a,27 m
Sechsplosion,Ewige Jagdgründe,6b,27 m
Rippentripp,Ewige Jagdgründe,7a,25 m
Karambol,Ewige Jagdgründe,7c+,25 m
Monsieur Fauxpas,Ewige Jagdgründe,7c,25 m
Sannyas 365,Ewige Jagdgründe,7a+,20 m
Supermumpfer,Ewige Jagdgründe,6c,18 m
Science Fiction,Ewige Jagdgründe,7b,18 m
Picabo,Ewige Jagdgründe,7c,12 m
El Schuppo,Ewige Jagdgründe,6b,22 m
Maracuja,Ewige Jagdgründe,6c+/7a,17 m
Santana,Ewige Jagdgründe,7a+,22 m
Indy,Ewige Jagdgründe,6c+,35 m
Mit Nasenbluten Hai Entgegenschwimmer,Ewige Jagdgründe,7c+,27 m
Little Feet,Ewige Jagdgründe,7c,18 m
Little Big man,Ewige Jagdgründe,6c,18 m
Edi,Ewige Jagdgründe,6c+,20 m
Schuh des Manitou,Ewige Jagdgründe,7a+,20 m
Manitoutwo,Ewige Jagdgründe,7c+,25 m
Manitou,Ewige Jagdgründe,7b+/c,25 m
Reise nach Ixtlan,Ewige Jagdgründe,7c+/8a,25 m
Alarm,Ewige Jagdgründe,7c+/8a,25 m
Mein Gott Walter kurz,Ewige Jagdgründe,6a,15 m
Mein Gott Walter lang,Ewige Jagdgründe,7b+,25 m
Mr. Krebbs,Ewige Jagdgründe,7b+,23 m
Jump the Gun,Ewige Jagdgründe,7b,20 m
Juju,Ewige Jagdgründe,7b+,20 m
Moby Dick,Ewige Jagdgründe,6c+,12 m
Ohne Worte,Ewige Jagdgründe,6a+,15 m
Hot Mokassin,Ewige Jagdgründe,6c+,40 m
Annanas Kamin,Ewige Jagdgründe,6b,25 m
Ad Absurdum,Ewige Jagdgründe,7b+,18 m
Pfrille,Ewige Jagdgründe,6a,10 m
Kante,Ewige Jagdgründe,6b+,10 m
Streamer,Ewige Jagdgründe,6a+,10 m
Goldkopfl,Ewige Jagdgründe,5b,10 m
Firelline,Ewige Jagdgründe,6b,30 m
Jean Schampoo,Ewige Jagdgründe,5c,30 m
Hermanns Alptraum,Ewige Jagdgründe,6a+,30 m
Lisa Links,Ewige Jagdgründe,5c,30 m
Via Lisa,Ewige Jagdgründe,5c,30 m
Oh du mein Rosenthal,Göltschach / Golšovo,6b,20 m
Lucky,Göltschach / Golšovo,7b+,20 m
Carpe diem,Göltschach / Golšovo,7c+,15 m
Natur pur,Göltschach / Golšovo,8a+,12 m
7a fur die Villacher,Göltschach / Golšovo,7a+,10 m
7a auch fur die Klagenfurter,Göltschach / Golšovo,6c+,10 m
Wreky,Göltschach / Golšovo,7b,10 m
Slime,Göltschach / Golšovo,7b,10 m
Paiper,Göltschach / Golšovo,7a+,10 m
Unbekannt,Göltschach / Golšovo,6c+,30 m
18. April,Göltschach / Golšovo,7a,10 m
Rosko,Göltschach / Golšovo,7a,10 m
K5 (linke variante),Göltschach / Golšovo,7a,35 m
K5,Göltschach / Golšovo,7a,30 m
Milena,Göltschach / Golšovo,7b+,30 m
Nit undumm,Göltschach / Golšovo,7b+,30 m
Spongebob,Göltschach / Golšovo,7c,30 m
Gewichtsbeschränkung,Göltschach / Golšovo,7c+,30 m
Sansibar,Göltschach / Golšovo,8a,28 m
Magnesiumräuber,Göltschach / Golšovo,7c+,29 m
Gorillas im Kongo,Göltschach / Golšovo,8a,30 m
Präsident,Göltschach / Golšovo,7c+,28 m
Kombinacija Prasident-Feinbeton,Göltschach / Golšovo,7c,28 m
Feinbeton,Göltschach / Golšovo,7c+,28 m
Mesa verde,Göltschach / Golšovo,8b,30 m
Mechame,Göltschach / Golšovo,8b,30 m
Alexander,Göltschach / Golšovo,8a,20 m
Duft der Frauen,Göltschach / Golšovo,8a,22 m
Modern Art,Göltschach / Golšovo,8a,30 m
Halloween,Göltschach / Golšovo,7c,20 m
Parodia Ricardia,Göltschach / Golšovo,7c,12 m
Djema el Fnaa,Göltschach / Golšovo,7b,30 m
Doris,Göltschach / Golšovo,6c,30 m
Auf leisen Sohlen,Göltschach / Golšovo,6b,30 m
no name #1,Göltschach / Golšovo,6b,32 m
Südkante,Grazer Bergland,V/III-IV,100 m
	Grastöter Diagonale,Grazer Bergland,V-/IV,200 m
SO Sporn - Postlerweg,Grazer Bergland,IV/II-III,300 m
Schlangengrube,Grazer Bergland,V/III-IV,200 m
Elk Meadows,Grazer Bergland,VII,240 m
Thymianpfeiler,Grazer Bergland,6a,220 m
Die linke,Hunerkogel,VIII-,250 m
Die Klassische,Hunerkogel,VI,250 m
Die Kühne,Hunerkogel,VI+,250 m
Oliver,Hunerkogel,VI-,250 m
Der flotte Vierer,Hunerkogel,V,250 m
Todl-Finni,Kanzianiberg / Škocjanska gora,6a,14 m
Weiße Platte,Kanzianiberg / Škocjanska gora,6c+,20 m
Omega,Kanzianiberg / Škocjanska gora,6b,35 m
Osterhase '98,Kanzianiberg / Škocjanska gora,5c,18 m
Cumulus,Kanzianiberg / Škocjanska gora,6a,21 m
Kapuzenweibl,Kanzianiberg / Škocjanska gora,6a,23 m
Kapuzenmandl,Kanzianiberg / Škocjanska gora,5c,26 m
Schlafwandler,Kanzianiberg / Škocjanska gora,6a,22 m
Miraculix,Kanzianiberg / Škocjanska gora,6b,19 m
Mira-Yestix,Kanzianiberg / Škocjanska gora,6b+/c,20 m
Mayestix,Kanzianiberg / Škocjanska gora,5c,18 m
Valballa,Kanzianiberg / Škocjanska gora,5a,18 m
Idefix,Kanzianiberg / Škocjanska gora,5a,18 m
Obelix,Kanzianiberg / Škocjanska gora,4c,18 m
Asterix,Kanzianiberg / Škocjanska gora,5b,18 m
Saurierbaby,Kanzianiberg / Škocjanska gora,5b,18 m
Bronti-Supersaurier,Kanzianiberg / Škocjanska gora,6a+/b,20 m
Abraxas,Kanzianiberg / Škocjanska gora,7c/c+,12 m
Tapferes Schneiderlein,Kanzianiberg / Škocjanska gora,6b,20 m
Böse Hexe,Kanzianiberg / Škocjanska gora,7a+/b,10 m
Aschenputtel,Kanzianiberg / Škocjanska gora,5c,17 m
Hänsel,Kanzianiberg / Škocjanska gora,5a,16 m
Gretel,Kanzianiberg / Škocjanska gora,4a+/b,12 m
Kleine Verschneidung,Kanzianiberg / Škocjanska gora,6b/b+,28 m
Skeletor,Kanzianiberg / Škocjanska gora,8a,27 m
Skeletor Light,Kanzianiberg / Škocjanska gora,7b/b+,13 m
Faulpelz,Kanzianiberg / Škocjanska gora,6a/a+,28 m
Schuppenweg,Kanzianiberg / Škocjanska gora,5b+/c,18 m
Der Lauf der Dinge,Kanzianiberg / Škocjanska gora,6c,18 m
Falling down,Kanzianiberg / Škocjanska gora,7c+,28 m
SO-Wand/links,Kanzianiberg / Škocjanska gora,5a,12 m
SO-Wand/mitte,Kanzianiberg / Škocjanska gora,4a,12 m
SO-Wand/rechts,Kanzianiberg / Škocjanska gora,4c,12 m
Riss-Einsteig,Kanzianiberg / Škocjanska gora,5b/b+,12 m
Die Perle vom Kanzianiberg,Kanzianiberg / Škocjanska gora,7c/c+,13 m
Löcher i.eisernen,Kanzianiberg / Škocjanska gora,6c,20 m
Karantania 2000,Košutnikov turn,6c,300 m
ladykiller,Lavamünd / Labot,4c,26 m
Froschkönig,Lavamünd / Labot,4b+/c,26 m
la linea di massima pendenza,Lavamünd / Labot,5c/c+,28 m
von 0 auf 100,Lavamünd / Labot,5a+/b,16 m
new wave,Lavamünd / Labot,4b,15 m
varimax,Lavamünd / Labot,4c,15 m
Falsches nashorn,Lavamünd / Labot,4a+/b,14 m
Heinzelmännchen,Lavamünd / Labot,4c,14 m
skywalk,Lavamünd / Labot,5b,30 m
wustentanz,Lavamünd / Labot,5a+,30 m
lucky loser,Lavamünd / Labot,5b+/c,28 m
Nur für Nichtraucher,Lavamünd / Labot,5c+,30 m
piazza,Lavamünd / Labot,5c+,30 m
riss passer,Lavamünd / Labot,5c/c+,12 m
betonknacker,Lavamünd / Labot,4b+/c,25 m
Schleichkonzert,Lavamünd / Labot,4c,25 m
Siggi,Maltatal - Kreuzwand,5b,22 m
Die Erste,Maltatal - Kreuzwand,6c,32 m
Friedl,Maltatal - Kreuzwand,6a,20 m
Bronto S.,Maltatal - Kreuzwand,6a+,28 m
Route 6,Maltatal - Kreuzwand,5c,15 m
Route 7,Maltatal - Kreuzwand,5c,15 m
Route 8,Maltatal - Kreuzwand,4c,15 m
Route 9,Maltatal - Kreuzwand,5b,15 m
Route 11,Maltatal - Kreuzwand,3,10 m
Skyscraper,Martinswand,4a,20 m
Knochenbeißer,Martinswand,5a,20 m
BP,Martinswand,5c+,20 m
Hobema direkt,Martinswand,5c,20 m
Hobema,Martinswand,5b,22 m
Birdy,Martinswand,6b+,22 m
Gasthof Post,Martinswand,5b,22 m
Jong,Martinswand,4b,28 m
Leichter Einstieg,Martinswand,3,28 m
Viper,Martinswand,5b,28 m
Das vergessene Tal,Martinswand,4c,22 m
Neuberg,Martinswand,5a,22 m
Herta normal,Martinswand,5a,22 m
Aus heiterem Himmel,Nadelspitz,7a,20 m
Unter uns,Nadelspitz,7a,20 m
Don Promillo,Nadelspitz,7b,28 m
Harte Zeiten,Nadelspitz,7b,28 m
Playmobil,Nasenwand,6b+,17 m
Legoland,Nasenwand,7b,17 m
Giant Line,Nasenwand,7c,30 m
Girls Connection,Nasenwand,7b+,25 m
Wolke7,Nasenwand,6c,20 m
Gachtlschlauch,Nasenwand,7b,20 m
Sonnendeck,Nasenwand,7b,20 m
Original Muhlbach Duo,Nasenwand,7a+,25 m
Caro-Line,Nasenwand,6b+/c,20 m
Uhps,Nasenwand,6a,12 m
ToiToiToi Dachl,Nasenwand,6b+,12 m
Flash Sport,Nasenwand,6b+/c,12 m
Johnny English,Nasenwand,6a,12 m
Djure,Oberried,4a,14 m
Snorre,Oberried,5b,20 m
Rotkapchen,Oberried,5a,16 m
Goofy,Oberried,5c,10 m
Max der Parkwachter,Oberried,5b,10 m
Zwergnase,Oberried,4c,17 m
La Bamba,Oberried,6a+,9 m
Zug um Zug,Rabenstein,6a+,13 m
Terminator,Rabenstein,7a,13 m
Rambo,Rabenstein,7a,13 m
Cordula,Rabenstein,5c,18 m
Augenntrpfen,Rabenstein,5a,18 m
Familienaufsflug,Rabenstein,5a,18 m
Der Bauch,Rabenstein,5c,18 m
Gatschpartie,Rabenstein,6b+,18 m
Das Scvheissen der Lammer,Rabenstein,6c,18 m
Das Ende,Rabenstein,6a,12 m
DEr Anfang vom Ende,Rabenstein,6a+,12 m
Die Erste,Rabenstein,5c,12 m
Long Way,Rabenstein,6b+,20 m
Viper,Rabenstein,6a+,18 m
Taube Nuss,Rabenstein,6c,17 m
Harte Nuss,Rabenstein,6b+,17 m
Nuschen,Rabenstein,6b+,17 m
Namenlose,Rabenstein,7a,20 m
Das tapfre Schneiderlen,Rabenstein,7a+/b,20 m
Eierlikor oder Frucade,Rabenstein,6c,13 m
J.H.08,Rabenstein,7c,25 m
Krahnest-naprej od Variante P.,Rabenstein,7a,12 m
Indian summer,Rabenstein,6c,17 m
varianta indian summer,Rabenstein,6a,14 m
Verlangerung Cold finger,Rabenstein,7b,18 m
Rolling-Verlangerung,Rabenstein,7b,18 m
Rolling like a falling stone,Rabenstein,7a+,18 m
10.Oktober,Rabenstein,7b+,18 m
Gschrapetil,Rabenstein,6c,18 m
Traumtanzer,Rabenstein,6c+,15 m
Direkter Traumpfeller,Rabenstein,7a+,20 m
Traumpfeiler,Rabenstein,6c+,20 m
Gullich,Rabenstein,8a,20 m
