"ime", "drzava", "st_smeri", "razpon_ocen", "najlazja", "najtezja"
Pag - Stogaj,Hrvaška,23,4b do 6c+,4b,6c+
Paklenica,Hrvaška,461,3 do 8b+,3,8b+
Paklenica - Vaganac,Hrvaška,16,6b do 8a+,6b,8a+
Papuk - Sokoline stijene,Hrvaška,10,4b do 5c,4b,5c
Pazin,Hrvaška,45,4a do 8b+,4a,8b+
Pelješac - Orebić,Hrvaška,20,4a do 7a+,4a,7a+
Perun,Hrvaška,27,4c do 7b+,4c,7b+
Plitvice - Gajina pećina,Hrvaška,7,5b do 7a+,5b,7a+
Pod Ključicom,Hrvaška,10,4b do 6b,4b,6b
Pokojec,Hrvaška,72,4a do 8b,4a,8b
Ponte porton,Hrvaška,29,4b/b+ do 6a+,4b/b+,6a+
Rabac,Hrvaška,11,5b do 7a,5b,7a
Radetina greda,Hrvaška,3,4b do 5c,4b,5c
Raspadalica,Hrvaška,34,4c do 7b+,4c,7b+
Ravna gora,Hrvaška,40,4b do 7c,4b,7c
Roč,Hrvaška,20,6a do 8a,6a,8a
Rovinj,Hrvaška,132,4a/a+ do 7a,4a/a+,7a
Rupotine (Klis),Hrvaška,21,5b do 8a/a+,5b,8a/a+
Sopot,Hrvaška,32,6a do 8c,6a,8c
Strogir,Hrvaška,21,5a do 7a,5a,7a
Terihaj,Hrvaška,13,3 do 8a+,3,8a+
Trogir - Sveti Vid,Hrvaška,46,5a do 8c,5a,8c
Ugljan,Hrvaška,27,4a do 7c+,4a,7c+
Vela Draga,Hrvaška,70,4a+/b do 7b+,4a+/b,7b+
Veli vrh,Hrvaška,18,4a+ do 6c+,4a+,6c+
Vinkuran,Hrvaška,40,5a do 8a/a+,5a,8a/a+
Vis - Crnjene stijene,Hrvaška,12,4b do 6c+,4b,6c+
Vranja peč,Hrvaška,19,5b do 8a+,5b,8a+
Vranjača,Hrvaška,25,6a do 8b,6a,8b
Vrbovsko,Hrvaška,50,5a do 8a+,5a,8a+
Zadvarje,Hrvaška,31,4c do 8a,4c,8a
Žarkovica - Gornji Brgat,Hrvaška,14,4b do 7a,4b,7a
Zia,Hrvaška,20,5b do 8a,5b,8a
Zir,Hrvaška,6,5a do 7a,5a,7a
Zrmanja Džebinovac,Hrvaška,11,3 do 7b,3,7b
Al Palazzo - Bosplans,Italija,12,4a do 7a+,4a,7a+
Alcenago - Stallavena,Italija,18,4b do 7a+,4b,7a+
Almadis - Cuargnui,Italija,21,4b do 6c,4b,6c
Anduins - Masarach,Italija,47,3 do 7c,3,7c
Arcadioland,Italija,19,5c do 7b,5c,7b
Arco,Italija,,,,
Arco - Baone,Italija,6,3 do 5c,3,5c
Arco - Baone,Italija,9,4a do 6a,4a,6a
Arco - Bassilandia,Italija,4,6a+ do 7a,6a+,7a
Arco - Calvario,Italija,23,4b do 8a,4b,8a
Arco - Colodri (Est),Italija,14,5c do 7c+/8a (VI+ do VII),5c,5c
Arco - Colodri,Italija,1,6a (VI),6a,6a
Arco - Colodri,Italija,2,5c do 5c,5c,5c
Arco - La Gola,Italija,18,5c do 7b,5c,7b
Arco - Le Piazzole,Italija,13,6a do 7b,6a,7b
Arco - L'orto,Italija,24,5a do 7c+,5a,7c+
Arco - Mandrea,Italija,1,6c+,6c+,6c+
Arco - Massi di Prabi,Italija,52,3 do 7c,3,7c
Arco - Massone,Italija,151,4a do 9a,4a,9a
Arco - Monte Colt,Italija,25,5c do 7b (VI do VI),5c,5c
Arco - Muro dell'asino,Italija,30,4b do 7b,4b,7b
Arco - Nago,Italija,23,5a do 7a+,5a,7a+
Arco - Ottava meraviglia,Italija,5,6b do 7b,6b,7b
Arco - Placche zebrate,Italija,4,5b do 6a,5b,6a
Arco - Red point wall,Italija,6,5c do 7b,5c,7b
Arco - San Paolo,Italija,11,5b do 6c,5b,6c
Arco - San Siro,Italija,11,5b do 7b,5b,7b
Arco - Sisyphos,Italija,7,5a do 6b,5a,6b
Arco - Swing Area,Italija,4,6a do 7a,6a,7a
Arco - Val Lomanose,Italija,4,5c do 7a,5c,7a
Aurisina (Nabrežina),Italija,46,4a do 7c+,4a,7c+
Baratro,Italija,56,6a do 8c+,6a,8c+
Barbarano,Italija,29,5c do 7c+,5c,7c+
Bila Pec (Bela Peč),Italija,28,4c do 8a,4c,8a
Carnevale d'Ivrea,Italija,,,,
Castegnero,Italija,51,4c do 8a+,4c,8a+
Castelnuovo di Porto,Italija,4,6a+ do 7a,6a+,7a
